
---------- Begin Simulation Statistics ----------
simSeconds                                   0.105481                       # Number of seconds simulated (Second)
simTicks                                 105481131000                       # Number of ticks simulated (Tick)
finalTick                                105481131000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    422.00                       # Real time elapsed on the host (Second)
hostTickRate                                249956569                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2534604                       # Number of bytes of host memory used (Byte)
simInsts                                    130071937                       # Number of instructions simulated (Count)
simOps                                      143767009                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   308229                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     340682                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        210962263                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.621889                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.616565                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       154159885                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  5475742                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      156359098                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1904921                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             15868617                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          34956961                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  24                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           210887666                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.741433                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.858556                       # Number of insts issued each cycle (Count)
system.cpu.dcache.WriteReq.hits::total       15063591                       # number of WriteReq hits (Count)
system.cpu.dcache.WriteReq.misses::cpu.data          251                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.misses::total          251                       # number of WriteReq misses (Count)
system.cpu.dcache.WriteReq.missLatency::cpu.data     20965999                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.missLatency::total     20965999                       # number of WriteReq miss ticks (Tick)
system.cpu.dcache.WriteReq.accesses::cpu.data     15063842                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.accesses::total     15063842                       # number of WriteReq accesses(hits+misses) (Count)
system.cpu.dcache.WriteReq.missRate::cpu.data     0.000017                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.missRate::total     0.000017                       # miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMissLatency::cpu.data 83529.876494                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMissLatency::total 83529.876494                       # average WriteReq miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.mshrHits::cpu.data          188                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrHits::total          188                       # number of WriteReq MSHR hits (Count)
system.cpu.dcache.WriteReq.mshrMisses::cpu.data           63                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMisses::total           63                       # number of WriteReq MSHR misses (Count)
system.cpu.dcache.WriteReq.mshrMissLatency::cpu.data      6371999                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissLatency::total      6371999                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu.dcache.WriteReq.mshrMissRate::cpu.data     0.000004                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.mshrMissRate::total     0.000004                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu.dcache.WriteReq.avgMshrMissLatency::cpu.data 101142.841270                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.WriteReq.avgMshrMissLatency::total 101142.841270                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu.dcache.power_state.pwrStateResidencyTicks::UNDEFINED 105481131000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.dcache.tags.tagsInUse           281.551772                       # Average ticks per tags in use ((Tick/Count))
system.cpu.dcache.tags.totalRefs             45188641                       # Total number of references to valid blocks. (Count)
system.cpu.dcache.tags.sampledRefs                426                       # Sample count of references to valid blocks. (Count)
system.cpu.dcache.tags.avgRefs           106076.622066                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.dcache.tags.warmupTick              201000                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.dcache.tags.occupancies::cpu.data   281.551772                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.dcache.tags.avgOccs::cpu.data     0.549906                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.avgOccs::total        0.549906                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.dcache.tags.occupanciesTaskId::1024          316                       # Occupied blocks per task id (Count)
system.cpu.dcache.tags.ageTaskId_1024::0           21                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::1           35                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ageTaskId_1024::4          260                       # Occupied blocks per task id, per block age (Count)
system.cpu.dcache.tags.ratioOccsTaskId::1024     0.617188                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.dcache.tags.tagAccesses           90378286                       # Number of tag accesses (Count)
system.cpu.dcache.tags.dataAccesses          90378286                       # Number of data accesses (Count)
system.cpu.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED 105481131000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.decode.idleCycles                 64632942                       # Number of cycles decode is idle (Cycle)
system.cpu.decode.blockedCycles              52048067                       # Number of cycles decode is blocked (Cycle)
system.cpu.decode.runCycles                  86260518                       # Number of cycles decode is running (Cycle)
system.cpu.decode.unblockCycles               2737885                       # Number of cycles decode is unblocking (Cycle)
system.cpu.decode.squashCycles                5208254                       # Number of cycles decode is squashing (Cycle)
system.cpu.decode.branchResolved              9584660                       # Number of times decode resolved a branch (Count)
system.cpu.decode.branchMispred                   284                       # Number of times decode detected a branch misprediction (Count)
system.cpu.decode.decodedInsts              186210681                       # Number of instructions handled by decode (Count)
system.cpu.decode.squashedInsts              17798420                       # Number of squashed instructions handled by decode (Count)
system.cpu.executeStats0.numInsts           153352132                       # Number of executed instructions (Count)
system.cpu.executeStats0.numNop                     0                       # Number of nop insts executed (Count)
system.cpu.executeStats0.numBranches         36966191                       # Number of branches executed (Count)
system.cpu.executeStats0.numLoadInsts        27387603                       # Number of load instructions executed (Count)
system.cpu.executeStats0.numStoreInsts       17802208                       # Number of stores executed (Count)
system.cpu.executeStats0.instRate            0.726917                       # Inst execution rate ((Count/Cycle))
system.cpu.executeStats0.numCCRegReads      550429848                       # Number of times the CC registers were read (Count)
system.cpu.executeStats0.numCCRegWrites      72565298                       # Number of times the CC registers were written (Count)
system.cpu.executeStats0.numFpRegWrites             0                       # Number of times the floating registers were written (Count)
system.cpu.executeStats0.numIntRegReads     145141401                       # Number of times the integer registers were read (Count)
system.cpu.executeStats0.numIntRegWrites     87628904                       # Number of times the integer registers were written (Count)
system.cpu.executeStats0.numMemRefs          45189811                       # Number of memory refs (Count)
system.cpu.executeStats0.numMiscRegReads     62984676                       # Number of times the Misc registers were read (Count)
system.cpu.executeStats0.numMiscRegWrites     10951069                       # Number of times the Misc registers were written (Count)
system.cpu.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu.executeStats0.numVecRegReads            16                       # Number of times the vector registers were read (Count)
system.cpu.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu.fetch.predictedBranches           19169390                       # Number of branches that fetch has predicted taken (Count)
system.cpu.fetch.cycles                     125983240                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu.fetch.squashCycles                10417038                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu.fetch.miscStallCycles                  434                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu.fetch.pendingTrapStallCycles           713                       # Number of stall cycles due to pending traps (Cycle)
system.cpu.fetch.icacheWaitRetryStallCycles          676                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu.fetch.cacheLines                  76673918                       # Number of cache lines fetched (Count)
system.cpu.fetch.icacheSquashes               1101252                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu.fetch.nisnDist::samples          210887666                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::mean              1.266012                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::stdev             1.269225                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::underflows               0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::0                 84925823     40.27%     40.27% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::1                 49286657     23.37%     63.64% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::2                 12325940      5.84%     69.49% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::3                 64349246     30.51%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::overflows                0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::min_value                0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::max_value                3                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetch.nisnDist::total            210887666                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu.fetchStats0.numInsts             234124912                       # Number of instructions fetched (thread level) (Count)
system.cpu.fetchStats0.numOps                       0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu.fetchStats0.fetchRate             1.109795                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu.fetchStats0.numBranches           58871307                       # Number of branches fetched (Count)
system.cpu.fetchStats0.branchRate            0.279061                       # Number of branch fetches per cycle (Ratio)
system.cpu.fetchStats0.icacheStallCycles     79694084                       # ICache total stall cycles (Cycle)
system.cpu.fetchStats0.numFetchSuspends             0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu.icache.demandHits::cpu.inst       76673174                       # number of demand (read+write) hits (Count)
